,0,1,2
0,02_78,0.0,"[[1285.0, 337.0, 1392.0, 565.0]]"
1,02_79,0.0,"[[1284.0, 337.0, 1392.0, 565.0]]"
2,02_80,0.0,"[[1284.0, 337.0, 1392.0, 565.0]]"
3,02_81,0.0,"[[1284.0, 337.0, 1392.0, 564.0]]"
4,02_82,0.0,"[[1284.0, 337.0, 1392.0, 565.0]]"
5,02_83,0.0,"[[1284.0, 337.0, 1392.0, 565.0]]"
6,02_84,0.0,"[[1284.0, 337.0, 1392.0, 565.0]]"
7,02_85,0.0,"[[1284.0, 337.0, 1392.0, 565.0]]"
8,02_86,0.0,"[[1284.0, 337.0, 1392.0, 565.0]]"
9,02_87,0.0,"[[1284.0, 337.0, 1392.0, 564.0]]"
10,02_88,0.0,"[[1291.0, 329.0, 1383.0, 545.0]]"
11,02_89,0.0,"[[1291.0, 329.0, 1383.0, 545.0]]"
12,02_90,0.0,"[[1291.0, 330.0, 1383.0, 545.0]]"
13,02_91,0.0,"[[1290.0, 329.0, 1384.0, 546.0]]"
14,02_92,0.0,"[[1290.0, 329.0, 1384.0, 546.0]]"
15,02_93,0.0,"[[1290.0, 329.0, 1384.0, 546.0]]"
16,02_94,0.0,"[[1290.0, 329.0, 1384.0, 546.0]]"
17,02_95,0.0,"[[1290.0, 329.0, 1384.0, 546.0]]"
18,02_96,0.0,"[[1290.0, 329.0, 1384.0, 546.0]]"
19,02_97,0.0,"[[1290.0, 329.0, 1384.0, 546.0]]"
20,02_98,0.0,"[[1289.0, 326.0, 1387.0, 537.0]]"
21,02_99,0.0,"[[1289.0, 327.0, 1387.0, 537.0]]"
22,2_100,0.0,"[[1289.0, 327.0, 1386.0, 537.0]]"
23,2_101,0.0,"[[1289.0, 327.0, 1387.0, 537.0]]"
24,2_102,0.0,"[[1289.0, 326.0, 1387.0, 537.0]]"
25,2_103,0.0,"[[1289.0, 327.0, 1386.0, 537.0]]"
26,2_104,0.0,"[[1289.0, 327.0, 1386.0, 537.0]]"
27,2_105,0.0,"[[1289.0, 327.0, 1386.0, 537.0]]"
28,2_106,0.0,"[[1289.0, 327.0, 1386.0, 537.0]]"
29,2_107,0.0,"[[1289.0, 327.0, 1386.0, 537.0]]"
30,2_108,0.0,"[[1289.0, 327.0, 1386.0, 537.0]]"
31,2_109,0.0,"[[1299.0, 318.0, 1378.0, 541.0]]"
32,2_110,0.0,"[[1299.0, 319.0, 1378.0, 541.0]]"
33,2_111,0.0,"[[1299.0, 318.0, 1378.0, 541.0]]"
34,2_112,0.0,"[[1299.0, 318.0, 1378.0, 541.0]]"
35,2_113,0.0,"[[1299.0, 318.0, 1378.0, 541.0]]"
36,2_114,0.0,"[[1299.0, 318.0, 1378.0, 541.0]]"
37,2_115,0.0,"[[1299.0, 318.0, 1378.0, 541.0]]"
38,2_116,0.0,"[[1299.0, 319.0, 1378.0, 541.0]]"
39,2_117,0.0,"[[1299.0, 319.0, 1378.0, 541.0]]"
40,2_118,0.0,"[[1299.0, 318.0, 1378.0, 541.0]]"
41,2_119,0.0,"[[1310.0, 314.0, 1363.0, 526.0]]"
42,2_119,0.0,"[[1315.0, 332.0, 1398.0, 569.0]]"
43,2_120,0.0,"[[1310.0, 314.0, 1363.0, 525.0]]"
44,2_120,0.0,"[[1315.0, 332.0, 1399.0, 569.0]]"
45,2_121,0.0,"[[1310.0, 315.0, 1363.0, 526.0]]"
46,2_121,0.0,"[[1315.0, 329.0, 1399.0, 571.0]]"
47,2_122,0.0,"[[1310.0, 315.0, 1363.0, 526.0]]"
48,2_122,0.0,"[[1314.0, 328.0, 1399.0, 571.0]]"
49,2_123,0.0,"[[1310.0, 315.0, 1363.0, 526.0]]"
50,2_123,0.0,"[[1314.0, 328.0, 1399.0, 571.0]]"
51,2_124,0.0,"[[1310.0, 315.0, 1363.0, 526.0]]"
52,2_124,0.0,"[[1314.0, 328.0, 1399.0, 571.0]]"
53,2_125,0.0,"[[1310.0, 315.0, 1363.0, 526.0]]"
54,2_125,0.0,"[[1314.0, 328.0, 1399.0, 571.0]]"
55,2_126,0.0,"[[1310.0, 315.0, 1363.0, 526.0]]"
56,2_126,0.0,"[[1314.0, 328.0, 1399.0, 571.0]]"
57,2_127,0.0,"[[1310.0, 315.0, 1363.0, 526.0]]"
58,2_127,0.0,"[[1314.0, 328.0, 1399.0, 571.0]]"
59,2_128,0.0,"[[1310.0, 315.0, 1363.0, 526.0]]"
60,2_128,0.0,"[[1314.0, 328.0, 1399.0, 571.0]]"
61,2_129,0.0,"[[1310.0, 315.0, 1363.0, 526.0]]"
62,2_129,0.0,"[[1314.0, 328.0, 1399.0, 571.0]]"
63,2_130,0.0,"[[1310.0, 315.0, 1363.0, 526.0]]"
64,2_130,0.0,"[[1314.0, 328.0, 1399.0, 571.0]]"
65,2_131,0.0,"[[1310.0, 315.0, 1363.0, 526.0]]"
66,2_131,0.0,"[[1314.0, 328.0, 1399.0, 571.0]]"
67,2_132,0.0,"[[1269.0, 299.0, 1380.0, 567.0]]"
68,2_133,0.0,"[[1269.0, 299.0, 1380.0, 567.0]]"
69,2_134,0.0,"[[1269.0, 299.0, 1380.0, 567.0]]"
70,2_135,0.0,"[[1269.0, 299.0, 1380.0, 567.0]]"
71,2_136,0.0,"[[1269.0, 299.0, 1380.0, 567.0]]"
72,2_137,0.0,"[[1269.0, 299.0, 1380.0, 567.0]]"
73,2_138,0.0,"[[1269.0, 290.0, 1327.0, 380.0]]"
74,2_138,0.0,"[[1260.0, 287.0, 1331.0, 467.0]]"
75,2_138,0.0,"[[1257.0, 333.0, 1368.0, 549.0]]"
76,2_139,0.0,"[[1260.0, 287.0, 1331.0, 468.0]]"
77,2_139,0.0,"[[1258.0, 332.0, 1368.0, 549.0]]"
78,2_140,0.0,"[[1260.0, 287.0, 1332.0, 469.0]]"
79,2_140,0.0,"[[1257.0, 332.0, 1368.0, 549.0]]"
80,2_141,0.0,"[[1260.0, 287.0, 1331.0, 469.0]]"
81,2_141,0.0,"[[1258.0, 332.0, 1368.0, 549.0]]"
82,2_142,0.0,"[[1260.0, 287.0, 1331.0, 468.0]]"
83,2_142,0.0,"[[1258.0, 332.0, 1368.0, 549.0]]"
84,2_143,0.0,"[[1260.0, 287.0, 1331.0, 469.0]]"
85,2_143,0.0,"[[1258.0, 332.0, 1368.0, 549.0]]"
86,2_144,0.0,"[[1260.0, 287.0, 1331.0, 469.0]]"
87,2_144,0.0,"[[1258.0, 332.0, 1368.0, 549.0]]"
88,2_145,0.0,"[[1260.0, 287.0, 1331.0, 469.0]]"
89,2_145,0.0,"[[1257.0, 332.0, 1368.0, 549.0]]"
90,2_146,0.0,"[[1260.0, 287.0, 1331.0, 469.0]]"
91,2_146,0.0,"[[1257.0, 332.0, 1368.0, 549.0]]"
92,2_147,0.0,"[[1260.0, 287.0, 1331.0, 468.0]]"
93,2_147,0.0,"[[1258.0, 332.0, 1368.0, 549.0]]"
94,2_148,0.0,"[[1240.0, 324.0, 1358.0, 549.0]]"
95,2_149,0.0,"[[1240.0, 324.0, 1358.0, 551.0]]"
96,2_150,0.0,"[[1240.0, 324.0, 1358.0, 551.0]]"
97,2_151,0.0,"[[1240.0, 323.0, 1359.0, 549.0]]"
98,2_152,0.0,"[[1240.0, 323.0, 1359.0, 548.0]]"
99,2_153,0.0,"[[1240.0, 323.0, 1359.0, 548.0]]"
100,2_154,0.0,"[[1240.0, 323.0, 1359.0, 548.0]]"
101,2_155,0.0,"[[1240.0, 323.0, 1359.0, 548.0]]"
102,2_156,0.0,"[[1240.0, 323.0, 1359.0, 548.0]]"
103,2_157,0.0,"[[1240.0, 323.0, 1359.0, 548.0]]"
104,2_158,0.0,"[[1251.0, 289.0, 1313.0, 478.0]]"
105,2_158,0.0,"[[1259.0, 296.0, 1345.0, 550.0]]"
106,2_159,0.0,"[[1251.0, 288.0, 1314.0, 478.0]]"
107,2_159,0.0,"[[1259.0, 296.0, 1345.0, 549.0]]"
108,2_160,0.0,"[[1251.0, 288.0, 1313.0, 478.0]]"
109,2_160,0.0,"[[1259.0, 296.0, 1345.0, 550.0]]"
110,2_161,0.0,"[[1251.0, 288.0, 1313.0, 478.0]]"
111,2_161,0.0,"[[1259.0, 296.0, 1345.0, 550.0]]"
112,2_162,0.0,"[[1251.0, 288.0, 1313.0, 478.0]]"
113,2_162,0.0,"[[1259.0, 296.0, 1345.0, 550.0]]"
114,2_163,0.0,"[[1251.0, 288.0, 1313.0, 478.0]]"
115,2_163,0.0,"[[1259.0, 296.0, 1345.0, 550.0]]"
116,2_164,0.0,"[[1251.0, 288.0, 1313.0, 478.0]]"
117,2_164,0.0,"[[1259.0, 296.0, 1345.0, 550.0]]"
118,2_165,0.0,"[[1251.0, 288.0, 1313.0, 478.0]]"
119,2_165,0.0,"[[1259.0, 296.0, 1345.0, 550.0]]"
120,2_166,0.0,"[[1251.0, 289.0, 1313.0, 478.0]]"
121,2_166,0.0,"[[1259.0, 296.0, 1345.0, 550.0]]"
122,2_167,0.0,"[[1251.0, 289.0, 1313.0, 478.0]]"
123,2_167,0.0,"[[1259.0, 296.0, 1345.0, 550.0]]"
124,2_168,0.0,"[[1262.0, 289.0, 1345.0, 530.0]]"
125,2_169,0.0,"[[1262.0, 290.0, 1345.0, 530.0]]"
126,2_170,0.0,"[[1262.0, 290.0, 1345.0, 530.0]]"
127,2_171,0.0,"[[1262.0, 290.0, 1345.0, 530.0]]"
128,2_172,0.0,"[[1262.0, 290.0, 1345.0, 530.0]]"
